target,user,text,cleaned_text
4,Dilloprincess,@xxadelxx I'm singing  anyway here is nothing interesting,im singing anyway here is nothing interesting
4,jojozep73,"I saw the footage on the news of Prince Harry's visit to New York... he's great with kids, just like his mum. What a great lad ",i saw the footage on the news of prince harrys visit to new york hes great with kids just like his mum what a great lad
0,ConSuz,There was no Italian class ,there was no italian class
4,lux_place,"�?а работе по�?тавили �?вой твиттер. Люди делают в�?ё, лишь бы не работать  Да, �?вой youtube у на�? тоже е�?ть ",       youtube  
4,VonneLee,Can't wait to be sitting in the sun sipping sangria's with the girls ,cant wait to be sitting in the sun sipping sangrias with the girls
4,labellagorda,thanks for all the #followfriday reccomendations! ,thanks for all the reccomendations
0,sunilnatraj,match delayed due to rain ,match delayed due to rain
4,NiNA_JUAN,taking baby to the doctor    [dont be ashamed of your faith],taking baby to the doctor dont be ashamed of your faith
4,SarahGeex,New background.... ,new background
0,kiarapop,@3LL3N it was the best day! idunno where it is tho  i must find it.,it was the best day idunno where it is tho i must find it
0,Jane_Platt,pointless lookin at anything.... ive seen the trailer;ill be fine!!  most of #glasto essentials purchased... now for clothes ,pointless lookin at anything ive seen the trailerill be fine most of essentials purchased now for clothes
0,zebraslovemusic,Best way .. By myself ,best way  by myself
0,Alex2zl,i really really want a kindle ,i really really want a kindle
0,allyeezy,@baditz17 http://twitpic.com/7oqev - i want sommmme! guhh! freakin californiaa wont lemme have any! ,  i want sommmme guhh freakin californiaa wont lemme have any
4,gallery32,@eyeletsage I like those spriograph cards ,i like those spriograph cards
4,pynnie26,@TVXQUKnow U always reply to ur fan when u have free time . I like it. Hope JaeJoong like you  ~,u always reply to ur fan when u have free time  i like it hope jaejoong like you ~
0,kimmyschwimmy,"Had more nightmares last night, I hope this isn't becoming a routine ",had more nightmares last night i hope this isnt becoming a routine
4,peacelovek80,"Some dance to remember, some dance to forget - i love rockin out to the eagles ",some dance to remember some dance to forget   i love rockin out to the eagles
4,darfawnda,@therocco Then do it! The desire to bust a move is completely normal and natural.  ,then do it the desire to bust a move is completely normal and natural
0,jamieloves,me and my big mouth. this is so upsetting ,me and my big mouth this is so upsetting
0,SheleahMonea,bout 2 call it a NIGHT... madd TIRED..gotta head back 2 BOSTON 2mrw... ,bout call it a night madd tiredgotta head back boston mrw
4,richardwnewton,@jpl1953  Still not arrived - I keep walking through to the office to check the driveway!! - I even have a notice on the door!! how sad ,still not arrived   i keep walking through to the office to check the driveway   i even have a notice on the door how sad
0,alliejonas,this no jonas thing isn't working very well with all these ppl saying they will have live coverage... ,this no jonas thing isnt working very well with all these ppl saying they will have live coverage
0,scottisafool,@simonster just given both lots of drivers a try and it's not made a difference  sucky. cheers though. wish i could use the x86 drivers.,just given both lots of drivers a try and its not made a difference sucky cheers though wish i could use the x86 drivers
4,PitiCks,Going to home  !!!!!!!!!,going to home 
4,tyefighter,"@kerryinholland the two little guys are here  just getting them settled in. So far, their names are Dexter and &quot;Not Dexter... I think?&quot;",the two little guys are here just getting them settled in so far their names are dexter and &quotnot dexter i think&quot
4,MATZ666,"@TaraBabcock Well if your not, im f**ked! ",well if your not im f**ked
0,The_Book_Thief,I'm definitely not Sleeping tonight ,im definitely not sleeping tonight
4,amberportercox,@interactiveAmy love to see you getting jiggy with the wordpress - I think you might be getting more techie than me!  #wcchicago,love to see you getting jiggy with the wordpress   i think you might be getting more techie than me
4,davetherockstar,watching sonny with a chance ,watching sonny with a chance
4,tongits,"@imariep You can also play Tongits on your PC or Mac. Download the game from http://www.tongits.net, enjoy! ",you can also play tongits on your pc or mac download the game from  enjoy
4,baileysmiles,Meet my new tattoo.   http://twitpic.com/6ajkn,meet my new tattoo
4,LizzieMo,Decided to go see avenue q. Should be good ,decided to go see avenue q should be good
0,MissBecca92,NOOOOOO I'm inevitibly going to fail drama ,noooooo im inevitibly going to fail drama
4,cehyde9,"@wvulauren throws one kick-ass party! Lots of work my dear, but what a wonderful day. ",throws one kick ass party lots of work my dear but what a wonderful day
4,EmilyxRose92,@mileycyrus haha i love that movie! ,haha i love that movie
0,jess_barragan,@LizyyBg get over urself it was one call u know.. damn girl!! ,get over urself it was one call u know damn girl
0,sophias_place,!!#%!#%!^ I just dropped my metal measuring spoons into rotating garbage disposal.Wah. My fave set of ms poons! ,^ i just dropped my metal measuring spoons into rotating garbage disposalwah my fave set of ms poons
4,kat_louii,"@ElenaBrowne awwww lol, is it gonna keep comin back like, forever? :O ha haa ",awwww lol is it gonna keep comin back like forever ha haa
0,danieldennis,@Mouseman68 Yeah...heard about that. Man. That's rough...when you're in the air...you're as good as dead if something goes wrong. ,yeahheard about that man thats roughwhen youre in the airyoure as good as dead if something goes wrong
4,tarraxo,Tickets to see &quot;Wicked&quot; at the Magestic: CHECK!! ,tickets to see &quotwicked&quot at the magestic check
4,MyCatalyseur,My gpa just got some choco/peanut butter fudge and its very good ,my gpa just got some choco peanut butter fudge and its very good
0,kavezina,"gotta make the dough, pick up my check, grocery shop, clean up - all with penny lane in tow bc apparently she has separation anxiety ",gotta make the dough pick up my check grocery shop clean up   all with penny lane in tow bc apparently she has separation anxiety
0,echelon_,@Japh I wish I'd known that there were more tickets earlier. Rang this arvo - one left but Amy would end up sitting alone. Sigh  Too Hard.,i wish id known that there were more tickets earlier rang this arvo   one left but amy would end up sitting alone sigh too hard
0,itmgr504,....trying to figure out WordPress permissions!  Grrrrrrrrr..........,trying to figure out wordpress permissions grrrrrrrrr
4,mrbeanzz,"@REMEMBERMENINAB lol oh I'm def embracing it in Florida. Embracing the sun, bikinis and drinks by the pool! Luhving it  lol",lol oh im def embracing it in florida embracing the sun bikinis and drinks by the pool luhving it lol
0,Priya_96,DO NOT ENJOY SLEEOVERS AT ALL-they are soooooooooo boring ,do not enjoy sleeovers at all they are soooooooooo boring
0,jonaslovato,@jemistry me too! it sucks ,me too it sucks
0,missjnz,@hasbean   sad ! And the worlds 4 th best barista !,sad  and the worlds th best barista 
0,yanpinggg,today is my mthary.but someone is angwee with me  - http://tweet.sg,today is my mtharybut someone is angwee with me  
4,baileyelise,Mmmmmm shower and cozy bed. Soooo nice after this long day ,mmmmmm shower and cozy bed soooo nice after this long day
4,TinchenFFM,@AngNewell77 #fullserviceeurope    High5,high5
0,surasudjiwo,@krystle148 see u next time yah jeng ,see u next time yah jeng
0,val760,miss my girls! but they don't love me n e more ,miss my girls but they dont love me n e more
